id;reference;contract_type;status;start_date;end_date;signed_date;base_salary;working_hours_week;working_days_week;convention_collective;trial_period_months;renewal_count;document_url;notes;created_at;employee_id
18;ensuite souvent partenaire;CIVP;EXPIRED;2026-04-07;2026-04-08;2026-04-07;11767.42;2;5;hors diététiste;10;29799;deçà sitôt que croâ;../fake-data/blob/hipster.txt;2026-04-08T05:42:19;18
19;proche;CIVP;SUSPENDED;2026-04-08;2026-04-08;2026-04-08;25899.7;42;6;presque;5;25156;main-d’œuvre;../fake-data/blob/hipster.txt;2026-04-07T19:46:10;19
20;avant à seule fin de;CDI;ACTIVE;2026-04-08;2026-04-08;2026-04-08;21492.76;20;4;plouf lâche pacifique;0;23369;à même sur;../fake-data/blob/hipster.txt;2026-04-07T21:21:12;20
21;hier à l'encontre de au prix de;STAGE;ACTIVE;2026-04-08;2026-04-07;2026-04-08;29560.13;35;6;au moyen de affable;5;1232;étant donné que discerner;../fake-data/blob/hipster.txt;2026-04-08T04:05:49;21
22;livrer;CDI;SUSPENDED;2026-04-08;2026-04-08;2026-04-08;24303.78;32;1;sous couleur de conseil d’administration;3;10795;prout responsable émerger;../fake-data/blob/hipster.txt;2026-04-07T18:44:04;22
23;aligner dynamique cadre;INTERIMAIRE;EXPIRED;2026-04-08;2026-04-07;2026-04-08;6503;5;2;énumérer membre titulaire quand;8;9912;vu que à bas de en guise de;../fake-data/blob/hipster.txt;2026-04-07T22:27:23;23
24;que volontiers;STAGE;ACTIVE;2026-04-07;2026-04-07;2026-04-08;2545.19;27;3;repérer;9;14650;après que pin-pon persuader;../fake-data/blob/hipster.txt;2026-04-07T19:48:16;24
25;pourvu que entre-temps;INTERIMAIRE;SUSPENDED;2026-04-08;2026-04-07;2026-04-08;16430.4;31;5;cuicui aussitôt que grrr;2;4999;ça touchant;../fake-data/blob/hipster.txt;2026-04-08T15:48:53;25
26;fort tellement désagréable;CDD;ACTIVE;2026-04-08;2026-04-07;2026-04-08;26843.12;2;3;ha ha;9;32332;rectorat tandis que;../fake-data/blob/hipster.txt;2026-04-08T17:15:19;26
27;lectorat de manière à ce que;CIVP;SUSPENDED;2026-04-08;2026-04-08;2026-04-08;25615.71;2;1;de manière à;1;7295;après sauvage;../fake-data/blob/hipster.txt;2026-04-08T10:28:11;27
28;ébranler;CDI;ACTIVE;2026-04-08;2026-04-08;2026-04-07;26078.9;26;6;de sorte que;7;4343;marron;../fake-data/blob/hipster.txt;2026-04-07T19:14:36;28
29;lunatique séduire moderne;CDI;DRAFT;2026-04-08;2026-04-08;2026-04-08;5193.99;24;6;afin que;12;32437;vlan parler sans que;../fake-data/blob/hipster.txt;2026-04-08T11:35:33;29
30;envers;INTERIMAIRE;DRAFT;2026-04-07;2026-04-08;2026-04-08;1722.45;3;6;novice;9;3490;lunatique aussitôt que diplomate;../fake-data/blob/hipster.txt;2026-04-07T22:26:34;30
