id;month;year;base_salary;total_gains;total_deductions;gross_salary;cnss_salary_amount;cavis_amount;taxable_income;irpp_amount;net_salary;employer_cnss;employer_cavis;total_employer_cost;worked_days;paid_leave_days;unpaid_days;overtime_hours;status;pdf_url;generated_at;sent_to_employee_at;bank_transfer_ref;employee_id;payroll_period_id;contract_id
12;6;5418;27610.93;11426.32;26009.94;19031.68;31723.18;29331.58;3388.38;11900.74;27860.14;14854.94;24808.9;32253.18;21305;14171;16952;20844.9;VALIDATED;au défaut de;2026-04-08T17:21:40;2026-04-08T03:14:00;hystérique à l'encontre de ah;12;12;12
13;8;11866;32127.1;1260.02;7825.76;3863.53;5268.53;19027.88;777.14;31490.76;5965.64;6776.66;2831.04;5324.96;24855;1889;26071;31900.77;VALIDATED;presque lunatique;2026-04-07T20:38:54;2026-04-07T22:15:01;présenter du côté de tchou tchouu;13;13;13
14;9;981;16005.38;16279.33;26075.01;21582.8;3735.86;26721.75;28240.74;1574.15;24435.73;19560.16;5978.16;31814.85;28674;32686;5148;4473.9;DRAFT;vu que à seule fin de;2026-04-08T05:02:21;2026-04-08T03:00:32;tellement;14;14;14
15;5;23824;8792.55;29607.11;8287.27;25430.15;32580.32;27511.11;28772.56;14282.02;29300.55;3732.46;20302.44;14258.66;9959;678;4199;13501.23;CALCULATED;deçà;2026-04-08T00:21:51;2026-04-07T19:25:30;du moment que secouriste de peur de;15;15;15
16;9;31196;16635.4;3953.33;29361.14;27678.47;29753.88;8531.1;13069.61;32741.56;24577.07;10074.24;8574.57;12794.83;13257;9145;22713;10692.3;VALIDATED;fréquenter cogner;2026-04-08T16:44:00;2026-04-07T19:08:23;par suite de;16;16;16
17;10;28497;16975.71;16478.95;6929.82;1809.31;3197.55;23445.22;21133.07;23805.9;25402.3;7978.78;2878.33;15455.7;7949;28706;12687;18656.21;DRAFT;financer ha ha;2026-04-08T13:23:44;2026-04-07T18:40:39;aux environs de détecter;17;17;17
18;3;24707;28467.98;28692.76;18443.28;23722.91;4825.69;12492.33;20933.18;8069.07;17143.35;1909.66;17611.75;873.85;18500;8920;19347;14283.21;VALIDATED;étant donné que mieux;2026-04-08T01:10:08;2026-04-08T00:38:34;administration clac;18;18;18
19;9;11650;9483.25;14064.07;18060.83;32304.78;26262.07;2318.73;26276.55;18004.5;6332.4;23825.61;23451.08;5002.12;27443;25095;3369;20073.24;CALCULATED;dépouiller innombrable ronron;2026-04-08T00:09:00;2026-04-07T23:04:20;déjà;19;19;19
20;1;6306;15358.14;30213.09;27139.6;24780.46;13725.38;8127.63;11214.9;4259.81;25814.26;16371.48;18319.05;10029.22;10190;11208;19318;17391.47;CALCULATED;aussitôt;2026-04-08T12:08:08;2026-04-08T05:11:23;traiter;20;20;20
21;12;17422;20786.61;13169.75;22932.83;8727.57;27913.08;23624.71;17198.12;21463.93;18093.58;25769.43;23215.41;11348.07;9401;2884;3429;27857.68;EXPORTED;de façon que énorme;2026-04-08T11:03:43;2026-04-08T06:34:11;athlète à cause de avant-hier;21;21;21
22;2;19439;8225.54;5961.26;1107.74;3749.56;17420.58;22336.41;32629.86;2165.09;17238.15;8969.22;16578.23;18582.92;26048;24230;15523;21733.22;EXPORTED;vu que miaou équipe de recherche;2026-04-07T19:32:13;2026-04-07T20:04:34;opérer avex ouah;22;22;22
23;9;12226;17161.83;21060.13;21696.38;26787.43;3673.46;9620.94;18802.2;7361.87;19432.11;13753.63;24412.61;5565.95;1245;20894;11588;21422.89;CALCULATED;impromptu crac;2026-04-07T19:21:54;2026-04-08T06:43:02;magnifique personnel gigantesque;23;23;23
24;5;16605;29334.59;25576.9;21105.39;11528.7;15731.5;7488.74;14512.79;8907.5;7174.81;13481.61;6888.69;30755.07;8652;10429;5753;11886.99;LOCKED;ouf commis;2026-04-08T15:26:54;2026-04-08T10:53:20;de façon que;24;24;24
25;9;17645;11408.26;17649.31;28220.58;25201.97;26600.57;19633.87;6349.29;21697.92;1107.16;21058.66;31299.05;10622.59;25676;5464;17238;6747.82;VALIDATED;sauter emmener;2026-04-08T05:20:45;2026-04-08T17:56:25;areu areu multiple;25;25;25
26;5;23795;2708.68;9450.27;30545.26;23840.22;27348.07;14920.94;20317.71;11887.82;22016.41;27567.7;359.2;25595.94;20421;18450;8273;26695.46;DRAFT;broum orange;2026-04-08T10:20:41;2026-04-08T13:01:34;pis avertir;26;26;26
27;3;24209;10624.15;17112.96;32328.24;7328.62;3882.03;32583.22;16534.41;11955.52;5494.63;3188.61;17207.16;26807.95;23661;32196;17624;6230.34;CALCULATED;alors que triathlète;2026-04-08T12:49:28;2026-04-08T16:34:39;population du Québec;27;27;27
28;3;6058;22377.77;6180.87;4232.72;29127.03;26649.02;28555.19;14721.05;22240.97;10539.57;6090.85;23703.76;11810.88;28251;19236;22583;3555.91;DRAFT;presque;2026-04-08T02:52:47;2026-04-07T22:14:58;en faveur de tenter miaou;28;28;28
29;1;22520;453.93;19113.29;6590.63;20801.78;16151.13;4613.21;14336.64;4285.82;18454.89;410.62;26939.92;28827.59;5433;23385;21852;1126.19;LOCKED;grrr corps enseignant vroum;2026-04-08T10:39:01;2026-04-08T09:01:27;supprimer;29;29;29
30;8;16457;20442.95;19728.14;26290.24;14490.25;8175.58;3353.15;21739.31;15288.08;31699.7;24490.3;29534.53;30394.98;7753;9633;25372;10945.18;EXPORTED;hi dans;2026-04-07T20:58:50;2026-04-07T22:14:35;là au lieu de;30;30;30
